Phone Model
Xiaomi 12 Pro 5G
Xiaomi 12S Pro
Xiaomi 12S
Xiaomi 12
Xiaomi 12 Pro Dimensity Edition
Xiaomi 12T | 12T Pro
Xiaomi 12 Lite 5G
Xiaomi 11T Pro
Xiaomi 11T
Xiaomi 11i
Xiaomi 11 Pro
Xiaomi 11 Ultra
Xiaomi 11
Xiaomi 11 Lite
Xiaomi 10T/10T Pro
Xiaomi 10 Pro
Xiaomi 10 Supreme
Xiaomi 10
Xiaomi 10T Lite
Xiaomi 10 Lite
Xiaomi 10S
Xiaomi 9 Pro
Xiaomi 9 SE
Xiaomi 9
Redmi S2
Redmi Note 11 Pro
Redmi Note 11E 5G
Redmi Note 11
Redmi Note 11S 5G
Redmi Note 10 Pro MAX
Redmi Note 10 Pro
Redmi Note 10/10S
Redmi Note 10 5G
Redmi Note 9 Pro MAX | Note 9 Pro | Note 9S
Redmi Note 9(5G) | 10X(4G)
Redmi Note 9(4G) | POCO M3
Redmi Note 8 Pro
Redmi Note 8
Redmi Note 8T
Redmi Note 7
Redmi Note 5A
Redmi Note 4
Redmi Note 12 Pro 5G
Redmi Note 12 4G
Redmi Note 12 TURBO
Redmi Note 12 Pro+ 5G
Redmi Note 12 5G
Redmi Note 12S
Redmi Note 11 Pro (5G)
Redmi Note 11T Pro
Redmi Note 11(4G) | Note 11S
Redmi Note 10 Pro 5G
Redmi K60 Ultra
Redmi K60 | K60 Pro
Redmi K50 Pro
Redmi K50 Ultra
Redmi K50
Redmi K50 Gaming Edition
Redmi K40 | K40 Pro
Redmi K40s
Redmi K40 Gaming Edition
Redmi K30 Pro
Redmi K30
Redmi K20
Redmi 14C
Redmi 14R 5G
Redmi 13C 5G
Redmi 13C 4G
Redmi 12 4G/5G
Redmi 11
Redmi 10X
Redmi 10
Redmi 9C
Redmi 9A
Redmi 8A
Redmi 9
Redmi 7A
Redmi 7
Redmi 6
Redmi A4
Redmi A3
Redmi Note 5 Pro | Xiaomi 6X
Redmi A1 4G
Redmi A1 Plus | A2 Plus
Redmi Note 14 Pro Plus 5G
Redmi Note 14 Pro 4G/5G
Redmi Note 14 5G
Redmi Note 13 Pro Plus 5G
Redmi Note 13 Pro 5G
Redmi Note 13 Pro 4G
Redmi Note 13 5G
Redmi Note 13 4G
OPPO A1K | Realme C2
vivo IQOO Z7
OPPO Reno 10 Pro+
OPPO Reno 10 Pro
OPPO Reno 10
OPPO Reno 9 | Reno 9 Pro
OPPO Reno 9 Pro+
OPPO Reno 8 Lite
OPPO Reno 8 Pro+(5G)
OPPO Reno 8 Pro(5G)
OPPO Reno 8T 4G
OPPO Reno 8(5G)
