Phone Model
Galaxy A20E
Galaxy A14 5G
Galaxy A13 (5G)
Galaxy A13 4G
Galaxy A12
Galaxy A11 Eurasian Edition
Galaxy A10s
Galaxy A10
Galaxy A9 (2018)
Galaxy A8s
Galaxy A8+ (2018)
Galaxy A8 (2018)
Galaxy A7 (2017)
Galaxy A6s
Galaxy A6+
Galaxy A06
Galaxy A6
Samsung Galaxy A5 (2017)
Galaxy A05 4G
Galaxy A05S 4G
Galaxy A2 Core
Galaxy A03S/A02S
Galaxy A03 Core
Galaxy A03 (164)
Samsung Galaxy A03 (Global Version)
Galaxy A02S
Galaxy A02
Galaxy A01 Core
Galaxy A01
Galaxy A04E
Galaxy A04 4G
Galaxy A73 5G
Galaxy A91/S10 Lite
Galaxy A33
Galaxy A33 5G
HONOR Play
HONOR Magic 7 Lite
HONOR Magic 6 Lite
HONOR Magic 6 Pro
HONOR Magic 5 Lite
HONOR Magic 5
HONOR Magic4
HONOR Magic4 Pro
HONOR Play 30 Plus
HONOR Magic3 Pro
HONOR Play 20
HONOR Magic3
HONOR Magic2
HONOR Play 8C
HONOR Play 7A
HONOR Play 7C
HONOR 30 Pro
HONOR 30s
HONOR 20 Pro
HONOR 10
HONOR 20 | 20s
HONOR 10X Lite
HONOR 9X Pro
HONOR 9X
HONOR 200
HONOR 200 Smart
HONOR 100
HONOR 90 Pro
HONOR 90 Lite
HONOR 90 Smart
HONOR 90
HONOR 80
HONOR 70
HONOR 70 Pro
HONOR 70 Lite
HONOR 50 Pro
HONOR 30 Lite
HONOR 20 Lite
HONOR 10 Lite | P Smart 2019
HONOR 30
HONOR X50
HONOR X50i
HONOR X40
HONOR X40i
HONOR X30
HONOR X30i
HONOR X20
HONOR X20SE
HONOR X10
HONOR X9A
HONOR X9
HONOR X8 5G
HONOR X8 4G
HONOR X7 4G
HONOR X7A
Xiaomi POCO C75 4G
Xiaomi POCO C50
Xiaomi POCO C40
Xiaomi POCO F3
Xiaomi POCO M5
Xiaomi POCO M4 Pro 4G
Xiaomi Play
Xiaomi Note 10 Lite
Xiaomi MIX 4 (5G)
Xiaomi MIX 3
Xiaomi MIX 2S
Xiaomi F1
Xiaomi CC9 Pro
Xiaomi CC9 | A3 Lite
Xiaomi Civi 3
Xiaomi Civi 2 | 13 Lite
Xiaomi Civi (5G)
Xiaomi 14 Pro
Xiaomi 14
Xiaomi CC9E
Xiaomi 14T
Xiaomi 13
Xiaomi 13 Pro
Xiaomi 13T/13T Pro
