Phone Name
Realme GT(5G) Master Discovery
Realme GT2 Master Explorer Edition
Realme GT
Realme GT Neo 3
Realme GT neo2
Realme GT Neo2
Realme GT Master
Realme C35
Realme C55 4G
Realme C25
Realme C31
Realme C30
Realme C21
Realme C21Y | 25Y
Realme C20 | C11 (2021)
Realme C15
Realme C11 2019
Realme C11
Realme C3
Realme 10 Pro+ 5G
Realme 10 4G
Realme 10 Pro 5G
Realme 9i
Realme 8i
Realme 8
Realme 7
Realme 7i | C17
Realme 7 Pro
Realme 6
Realme 5 Pro
Realme 5
Realme 3
Realme 3 Pro | Realme X Youth Edition
Realme 1
Infinix Smart 7
Infinix Hot 50i | Infinix Smart 9
Infinix note11S | note 11 Pro
Infinix Hot 20s
Infinix Hot 20i
One Plus Nord 2T 5G
One Plus Nord CE2 Lite 5G
One Plus ACE 2V | Nord 3 5G
One Plus Nord CE3 Lite
One Plus ACE
One Plus 11
One Plus 10 Pro (5G)
One Plus 9RT(5G)
One Plus 9
One Plus 9 Pro
1+ACE Pro/1+10T
1 + Nord CE2
1 + Nord 2
1+10R
1 + 8T
1 + 8 Pro
1 + 8
1 + 7
1 + 7T
1 + 7 Pro
1 + 7T Pro
Moto E22/E22i
Moto E13 2023
Moto E7 Power
Moto E7
Moto G Stylus 5G 2023
Moto G Stylus 5G 2021
Moto G Play 2023 | G Power 2022
Moto G200
Moto G84 5G
Moto G71
Moto G60 | G40 Fision
Moto G54
Moto G50
Moto G34
Moto G22
Moto G14
Moto G13 | G53
Moto edge 40 Neo
Moto edge 40
Moto edge 30 Pro
Moto edge 30
Moto edge 30 ultra 5G | moto X30 Pro
Moto edge 20 Lite
Moto edge 20 Pro
Moto edge 20
Pixel 9 Pro
Pixel 9
Google Pixel 8
Pixel 8A
Pixel 8 Pro
