model_name
vivo Y51 (2020)
vivo Y50
vivo Y33S | Y21
vivo Y35 4G
vivo Y22s/Y22 4G
vivo Y20
vivo Y17/Y12/Y15
vivo Y16 4G/Y02s
vivo Y9s | V17
vivo X100
vivo Y3
vivo X90 | X90s
vivo X90 Pro
vivo X80 Pro
vivo X80
vivo Y02 4G/Y11 2023
vivo X70 PRO+
vivo X70 Pro
vivo X70 (5G)
vivo X60 Pro
vivo X60 Pro+
vivo X60 Curved Screen Edition
vivo X60
vivo X50 Pro+
vivo X50 Pro
vivo X50E
vivo V27/V27 Pro
vivo X50
vivo X30 Pro
vivo V25 5G
vivo X30
vivo V25 5G/V25e/X80 Lite
vivo X27 Pro
vivo X27
vivo X23
vivo X23 Mirage
vivo X21i
vivo X21
vivo X20Plus
vivo X20
vivo X9 Puls | X9s Puls
vivo X9 | X9S (fine hole)
vivo X9 | X9S
vivo X Note
vivo V21E(4G)
vivo V21
vivo V20SE
vivo V20
vivo V20
vivo V19
vivo V17 Pro
vivo V17 india
vivo V17
vivo V15 Pro
vivo V15
vivo V11 Pro
vivo V11i
vivo V11
vivo V11 2019
vivo V9 | Y85
vivo V7 Plus
vivo V7
vivo T2x(5G)
vivo S17 | S17 Pro | S17t
vivo S17e
vivo S16 | S16 Pro
vivo S16e
vivo S15 Pro(5G)
vivo S15(5G)
vivo S15e(5G)
vivo S12 Pro
vivo S12 | V23(4G)
vivo S10E
vivo S10
vivo S9e
vivo S9
vivo S7
vivo S6
vivo S5
vivo NEX3
vivo NEX_A
vivo NEX_S
vivo IQOO Z5
vivo IQOO Z3 | Y72(5G)
vivo IQOO Z1x
vivo IQOO Pro
vivo IQOO Neo 5
vivo IQOO Neo 7/7SE
vivo IQOO Neo
vivo IQOO Neo 8/8 Pro
vivo IQOO Neo 5SE | T1 5G
vivo IQOO Neo 3
vivo IQOO Neo 6/6S
vivo IQOO 10
vivo IQOO 11
vivo IQOO 11 Pro
vivo IQOO 9 Pro
vivo IQOO 9
vivo IQOO 10 Pro
vivo IQOO 8
vivo IQOO 8 Pro
vivo IQOO 7
vivo IQOO 5
vivo IQOO 5 Pro
vivo IQOO 3
vivo IQOO
vivo Y19 | U3 | Y5s
Realme XT
Realme X
Realme X7 Pro
Realme X7
Realme X50 Pro
Realme X50(5G)
Realme V15
Realme V13(5G)
Realme V11(5G)
Realme V5
Realme Q3 Pro
Realme GT Neo5
Realme GT(5G) Master Discovery
Realme GT2 Master Explorer Edition
Realme GT
Realme GT Neo 3
Realme GT neo2
Realme GT Neo2
Realme GT Master
Realme C35
Realme C55 4G
Realme C25
Realme C31
Realme C30
